Renderer: NVIDIA GeForce RTX 3090/PCIe/SSE2 by NVIDIA Corporation
OpenGL version: 4.6.0 NVIDIA 570.133.07
Using optional features:
    GL_ARB_vertex_array_object
    GL_ARB_separate_shader_objects
    GL_ARB_robustness
    GL_ARB_texture_storage
    GL_ARB_texture_view
    GL_ARB_framebuffer_no_attachments
    GL_ARB_invalidate_subdata
    GL_ARB_texture_storage_multisample
    GL_ARB_multi_bind
    GL_ARB_direct_state_access
    GL_ARB_get_texture_sub_image
    GL_ARB_texture_filter_anisotropic
    GL_KHR_debug
    GL_KHR_parallel_shader_compile
    GL_NV_depth_buffer_float
Using driver workarounds:
    no-forward-compatible-core-context
    nv-egl-incorrect-gl11-function-pointers
    no-layout-qualifiers-on-old-glsl
    nv-zero-context-profile-mask
    nv-implementation-color-read-format-dsa-broken
    nv-cubemap-inconsistent-compressed-image-size
    nv-cubemap-broken-full-compressed-image-query
    nv-compressed-block-size-in-bits
[18:18:47:589156]:[Warning]:[Metadata] SceneDatasetAttributes.cpp(107)::addNewSceneInstanceToDataset : Dataset : 'default' : Lighting Layout Attributes 'no_lights' specified in Scene Attributes but does not exist in dataset, so creating default.
ep  0 id=   198: steps= 71 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 23 id=  2694: steps= 79 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 24 id=  2800: steps= 72 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 25 id=  2823: steps= 45 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 26 id=  2917: steps= 71 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 27 id=  3468: steps=372 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000001 success ours/truth=0/0 OK
ep 28 id=  3514: steps= 14 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 29 id=  3550: steps= 70 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=0/0 OK
ep 30 id=  3564: steps=294 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 31 id=  3591: steps= 61 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 32 id=  3644: steps= 45 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 33 id=  3673: steps=201 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 34 id=  4027: steps=106 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 35 id=  4061: steps= 30 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 36 id=  4101: steps= 87 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 37 id=  4150: steps= 97 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 38 id=  4252: steps= 67 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 39 id=  4312: steps=286 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 40 id=  4326: steps=166 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 41 id=  4449: steps=111 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 42 id=  4502: steps= 44 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 43 id=  4517: steps=290 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 44 id=  4635: steps=215 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 45 id=  4753: steps=128 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 46 id=  5247: steps= 56 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 47 id=  5348: steps= 59 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 48 id=  5431: steps=106 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 49 id=  5499: steps= 84 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 50 id=  5503: steps=109 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 51 id=  5843: steps=163 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 52 id=  5922: steps= 69 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 53 id=  5950: steps=213 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000001 success ours/truth=1/1 OK
ep 54 id=  5968: steps= 72 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 55 id=  6004: steps= 93 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 56 id=  6134: steps=150 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=0/0 OK
ep 57 id=  6180: steps= 49 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 58 id=  6237: steps=139 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 59 id=  6289: steps= 32 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 60 id=  6319: steps= 57 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 61 id=  6362: steps=395 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 62 id=  6597: steps= 78 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 63 id=  6623: steps=154 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 64 id=  6632: steps=196 stop=1 |dpos|max=0.000000 |ddtg|=0.000001 |dmetric|max=0.000001 success ours/truth=0/0 OK
ep 65 id=  6703: steps= 75 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 66 id=  6968: steps=243 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 67 id=  6995: steps=143 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=0/0 OK
ep 68 id=  7008: steps= 84 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 69 id=  7121: steps=288 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=0/0 OK
ep 70 id=  7234: steps= 92 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 71 id=  7284: steps=121 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 72 id=  7433: steps= 22 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 73 id=  7471: steps= 65 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 74 id=  7488: steps= 39 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 75 id=  7569: steps=109 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 76 id=  7732: steps=295 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 77 id=  7733: steps=176 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 78 id=  7741: steps= 43 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 79 id=  7819: steps=178 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 80 id=  8127: steps= 43 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 81 id=  8246: steps= 65 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 82 id=  8259: steps=110 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=0/0 OK
ep 83 id=  8340: steps=160 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 84 id=  8686: steps= 69 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=0/0 OK
ep 85 id=  8928: steps=134 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 86 id=  9142: steps=197 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000001 success ours/truth=1/1 OK
ep 87 id=  9156: steps=121 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 88 id=  9242: steps= 74 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 89 id=  9457: steps=122 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 90 id=  9514: steps=163 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=0/0 OK
ep 91 id=  9632: steps= 35 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 92 id=  9803: steps=223 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 93 id=  9848: steps=172 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 94 id= 10025: steps=181 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 95 id= 10188: steps=131 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 96 id= 10387: steps=172 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 97 id= 10789: steps=103 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 98 id= 10917: steps= 78 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=0/0 OK
ep 99 id= 10971: steps= 82 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000001 success ours/truth=1/1 OK

99 ok, 0 fail, 1 truth holes; worst |dpos| 0.000000 m, |ddtg| 0.000001 m, |dmetric| 0.000001
PARITY_RC=0
