Renderer: NVIDIA GeForce RTX 3090/PCIe/SSE2 by NVIDIA Corporation
OpenGL version: 4.6.0 NVIDIA 570.133.07
Using optional features:
    GL_ARB_vertex_array_object
    GL_ARB_separate_shader_objects
    GL_ARB_robustness
    GL_ARB_texture_storage
    GL_ARB_texture_view
    GL_ARB_framebuffer_no_attachments
    GL_ARB_invalidate_subdata
    GL_ARB_texture_storage_multisample
    GL_ARB_multi_bind
    GL_ARB_direct_state_access
    GL_ARB_get_texture_sub_image
    GL_ARB_texture_filter_anisotropic
    GL_KHR_debug
    GL_KHR_parallel_shader_compile
    GL_NV_depth_buffer_float
Using driver workarounds:
    no-forward-compatible-core-context
    nv-egl-incorrect-gl11-function-pointers
    no-layout-qualifiers-on-old-glsl
    nv-zero-context-profile-mask
    nv-implementation-color-read-format-dsa-broken
    nv-cubemap-inconsistent-compressed-image-size
    nv-cubemap-broken-full-compressed-image-query
    nv-compressed-block-size-in-bits
[18:16:15:674754]:[Warning]:[Metadata] SceneDatasetAttributes.cpp(107)::addNewSceneInstanceToDataset : Dataset : 'default' : Lighting Layout Attributes 'no_lights' specified in Scene Attributes but does not exist in dataset, so creating default.
ep  0 id=     7: steps= 35 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=0/0 OK
ep 11 id=   156: steps=124 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 12 id=   166: steps= 29 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 13 id=   171: steps= 83 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 14 id=   176: steps=499 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 15 id=   181: steps= 67 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 16 id=   187: steps= 36 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=0/0 OK
ep 17 id=   190: steps= 81 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 18 id=   191: steps= 81 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 19 id=   207: steps=257 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=0/0 OK
ep 20 id=   218: steps= 74 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 21 id=   226: steps= 93 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 22 id=   232: steps=161 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=0/0 OK
ep 23 id=   244: steps= 59 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 24 id=   247: steps=144 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 25 id=   259: steps= 22 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 26 id=   265: steps=183 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 27 id=   275: steps= 70 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 28 id=   308: steps= 79 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 29 id=   312: steps= 35 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 30 id=   321: steps= 38 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 31 id=   330: steps= 35 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 32 id=   338: steps= 83 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=0/0 OK
ep 33 id=   348: steps= 50 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 34 id=   362: steps= 75 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 35 id=   371: steps= 54 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 36 id=   377: steps= 99 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 37 id=   387: steps= 58 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 38 id=   403: steps= 88 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 39 id=   411: steps= 59 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 40 id=   423: steps= 71 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 41 id=   432: steps= 48 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 42 id=   439: steps= 58 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 43 id=   447: steps= 69 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=0/0 OK
ep 44 id=   454: steps=103 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 45 id=   461: steps= 53 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 46 id=   469: steps= 58 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=0/0 OK
ep 47 id=   479: steps= 43 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 48 id=   513: steps=146 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 49 id=   516: steps= 52 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 50 id=   526: steps= 54 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 51 id=   531: steps= 44 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 52 id=   546: steps= 63 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 53 id=   550: steps=187 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=0/0 OK
ep 54 id=   559: steps= 40 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 55 id=   568: steps=138 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 56 id=   576: steps=255 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 57 id=   586: steps= 26 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 58 id=   602: steps= 81 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 59 id=   609: steps=500 stop=0 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=0/0 OK
ep 60 id=   620: steps= 90 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 61 id=   643: steps=441 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000001 success ours/truth=1/1 OK
ep 62 id=   655: steps= 58 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 63 id=   670: steps=146 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 64 id=   677: steps= 83 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 65 id=   698: steps= 43 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 66 id=   705: steps= 98 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 67 id=   715: steps= 88 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 68 id=   721: steps= 59 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 69 id=   739: steps=206 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 70 id=   743: steps= 56 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 71 id=   748: steps=104 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=0/0 OK
ep 72 id=   755: steps= 36 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=0/0 OK
ep 73 id=   765: steps= 27 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 74 id=   781: steps= 35 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 75 id=   787: steps= 99 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 76 id=   804: steps= 76 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 77 id=   810: steps= 36 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 78 id=   821: steps= 60 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 79 id=   824: steps= 36 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 80 id=   842: steps= 57 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=0/0 OK
ep 81 id=  1051: steps=142 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 82 id=  1056: steps= 33 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 83 id=  1061: steps= 58 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 84 id=  1071: steps= 86 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 85 id=  1077: steps=334 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 86 id=  1084: steps= 72 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 87 id=  1085: steps= 78 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 88 id=  1087: steps= 24 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 89 id=  1092: steps= 68 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 90 id=  1106: steps=439 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 91 id=  1117: steps= 22 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=0/0 OK
ep 92 id=  1133: steps= 80 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=0/0 OK
ep 93 id=  1139: steps=126 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 94 id=  1142: steps= 38 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 95 id=  1148: steps= 83 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 96 id=  1284: steps= 77 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 97 id=  1301: steps= 28 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK
ep 98 id=  1307: steps=138 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=0/0 OK
ep 99 id=  1406: steps=109 stop=1 |dpos|max=0.000000 |ddtg|=0.000000 |dmetric|max=0.000000 success ours/truth=1/1 OK

100 ok, 0 fail, 0 truth holes; worst |dpos| 0.000000 m, |ddtg| 0.000000 m, |dmetric| 0.000001
PARITY_RC=0
